sku,salesdate,price,unitsordered,sales,cogs,fba,reffee,adspend,profit,comp_1_price,comp_2_price,comp_data_min_price,comp_data_max_price,managed_fba_stock_level,min_price,max_price,avg_price_per_unit
Envelopes SKU 11,2023-06-15,25.89,8,207.0,76.0,66.0,31.0,4.0,30.0,26.28,25.92,24.75,29.15,1131.0,23.99,32.99,25.875
Envelopes SKU 11,2023-06-17,25.79,3,77.0,28.0,25.0,12.0,6.0,6.0,26.28,25.92,24.75,29.15,1105.0,23.99,32.99,25.666666666666668
Envelopes SKU 11,2023-06-18,25.99,4,104.0,38.0,33.0,16.0,3.0,14.0,26.28,25.92,24.75,29.15,1091.0,23.99,32.99,26.0
Envelopes SKU 11,2023-07-03,25.99,6,156.0,57.0,49.0,23.0,16.0,11.0,26.28,25.92,24.75,29.15,1357.0,23.99,32.99,26.0
Envelopes SKU 11,2023-07-04,25.99,2,52.0,19.0,16.0,8.0,5.0,4.0,26.28,25.92,24.75,29.15,1349.0,23.99,32.99,26.0
Envelopes SKU 11,2023-07-05,25.69,10,257.0,95.0,82.0,39.0,0.0,41.0,26.28,25.92,24.75,29.15,1348.0,23.99,32.99,25.7
Envelopes SKU 11,2023-07-06,25.59,9,230.0,85.0,74.0,34.0,9.0,28.0,26.28,25.92,24.75,29.15,1337.0,23.99,32.99,25.555555555555557
Envelopes SKU 11,2023-07-07,22.99,9,207.0,85.0,74.0,31.0,4.0,13.0,26.28,25.92,24.75,29.15,1335.0,23.99,32.99,23.0
Envelopes SKU 11,2023-07-08,25.99,1,26.0,9.0,8.0,4.0,6.0,-1.0,26.28,25.92,24.75,29.15,1329.0,23.99,32.99,26.0
Envelopes SKU 11,2023-07-09,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,1318.0,23.99,32.99,25.666666666666668
Classification Folders SKU 16,2022-05-18,29.89,1,30.0,10.0,8.0,4.0,2.0,6.0,26.28,25.92,24.75,29.15,29.0,23.99,36.99,30.0
Classification Folders SKU 16,2022-05-22,30.19,4,121.0,40.0,30.0,18.0,2.0,31.0,26.28,25.92,24.75,29.15,144.0,23.99,36.99,30.25
Misc Office Supplies SKU 27,2022-03-12,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-13,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-14,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-15,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-16,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-17,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-18,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-19,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-20,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-23,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-24,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-25,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-26,24.49,1,24.0,10.0,7.0,4.0,0.0,3.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,24.0
Misc Office Supplies SKU 27,2022-03-27,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-28,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-29,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-30,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-03-31,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-01,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.666666666666668
Misc Office Supplies SKU 27,2022-04-02,24.99,1,25.0,10.0,7.0,4.0,0.0,4.0,26.28,25.92,24.75,29.15,674.0,23.99,32.99,25.0
